timestamp,open,high,low,close,volume
1604102400000.0,6.3555,6.3772,6.3197,6.3301,2514.1606
1604106000000.0,6.3329,6.3489,6.3152,6.3202,2001.4153
1604109600000.0,6.3203,6.3685,6.283,6.3445,3453.790238786899
1604113200000.0,6.3384,6.426,6.3303,6.398,2522.903982147271
1604116800000.0,6.3948,6.4201,6.3783,6.3866,1542.8728
1604120400000.0,6.3854,6.403,6.3754,6.3998,1505.2456
1604124000000.0,6.4075,6.4136,6.35,6.35,3026.425
1604127600000.0,6.3482,6.3665,6.3441,6.3563,1776.8822
1604131200000.0,6.3551,6.3551,6.2389,6.2781,5120.6975
1604134800000.0,6.2724,6.2924,6.1933,6.213,2195.3383163894973
1604138400000.0,6.2079,6.3335,6.1085,6.267,18377.507845819422
1604142000000.0,6.2537,6.2715,6.1951,6.2057,1811.5164293476178
1604145600000.0,6.2069,6.2408,6.1971,6.2229,1480.1547
1604149200000.0,6.2222,6.2674,6.2053,6.2395,1840.8642112075775
1604152800000.0,6.2423,6.2892,6.2334,6.2717,1916.1641
1604156400000.0,6.2756,6.3093,6.2423,6.2518,1875.7409246594932
1604160000000.0,6.2421,6.252,6.2081,6.2392,1758.017
1604163600000.0,6.2425,6.2749,6.2384,6.2581,2149.9159
1604167200000.0,6.2583,6.2913,6.2549,6.2874,2039.8763
1604170800000.0,6.2889,6.3008,6.242,6.2564,2011.6809
1604174400000.0,6.2517,6.2716,6.2316,6.2323,2006.6556
1604178000000.0,6.2347,6.2477,6.2232,6.2293,1244.2658
1604181600000.0,6.2283,6.2427,6.2076,6.2122,2026.7139
1604185200000.0,6.2208,6.2674,6.2165,6.2537,2565.8014616565397
1604188800000.0,6.2537,6.3007,6.2043,6.281,2713.973
1604192400000.0,6.2857,6.2918,6.2577,6.2699,1168.5958
1604196000000.0,6.2699,6.3063,6.2569,6.2862,1942.0196418162957
1604199600000.0,6.2857,6.3145,6.2738,6.2974,2542.0206
1604203200000.0,6.3,6.3291,6.2899,6.306,2007.0051
1604206800000.0,6.3008,6.3139,6.2705,6.2899,1684.3445814032714
1604210400000.0,6.289,6.3,6.2717,6.2854,1592.7384
1604214000000.0,6.2842,6.2871,6.2411,6.2537,2480.0131
1604217600000.0,6.2519,6.2784,6.2496,6.2671,2308.6442556187835
1604221200000.0,6.2615,6.302,6.2575,6.295,2330.5959
1604224800000.0,6.293,6.2995,6.2698,6.2842,1886.8868
1604228400000.0,6.2807,6.3131,6.2531,6.2919,2542.8034517679575
1604232000000.0,6.2908,6.3097,6.2577,6.2632,1947.779075720158
1604235600000.0,6.2618,6.2754,6.2453,6.2487,1781.2676
1604239200000.0,6.2523,6.261,6.2214,6.2512,1912.746446343646
1604242800000.0,6.2488,6.2518,6.2182,6.249,2875.3708
1604246400000.0,6.2438,6.3185,6.2341,6.2764,19364.49391457965
1604250000000.0,6.2759,6.4,6.2693,6.28,45544.08218685457
1604253600000.0,6.2885,6.4,6.2774,6.3714,41209.06313419652
1604257200000.0,6.3724,6.3975,6.3551,6.3828,41462.959500588004
1604260800000.0,6.3829,6.4811,6.2575,6.32,41829.2900392055
1604264400000.0,6.3196,6.3703,6.2928,6.3002,49307.160176027646
1604268000000.0,6.2995,6.3426,6.2293,6.3378,23059.7432
1604271600000.0,6.3362,6.4,6.3247,6.3547,21804.383095447138
1604275200000.0,6.3547,6.358,6.1908,6.2268,24147.11140130977
1604278800000.0,6.2249,6.2549,6.205,6.2517,5469.407895951658
1604282400000.0,6.2494,6.4,6.2459,6.2984,42735.6934309803
1604286000000.0,6.298,6.3272,6.2526,6.2917,38867.3773
1604289600000.0,6.2908,6.3081,6.2626,6.288,4092.2657
1604293200000.0,6.2917,6.4246,6.2517,6.3303,51281.53226856373
1604296800000.0,6.3224,6.3259,6.2901,6.305,40389.02471502294
1604300400000.0,6.3051,6.3576,6.278,6.3484,45362.64445639421
1604304000000.0,6.3482,6.4,6.295,6.3889,75548.81731164275
1604307600000.0,6.3876,6.3963,6.3275,6.3355,21396.57339623231
1604311200000.0,6.3368,6.3879,6.3368,6.3769,3591.0332
1604314800000.0,6.3759,6.4629,6.3711,6.4085,17350.190916430423
1604318400000.0,6.4097,6.6,6.4097,6.4778,48171.70862096829
1604322000000.0,6.483,6.5286,6.4122,6.5101,36644.67126578027
1604325600000.0,6.5112,6.5289,6.3618,6.3694,55642.46122842503
1604329200000.0,6.3705,6.4228,6.3576,6.3815,34737.787
1604332800000.0,6.3814,6.4272,6.3723,6.4023,28884.00468672127
1604336400000.0,6.4021,6.4682,6.36,6.3838,61844.221000434016
1604340000000.0,6.3823,6.5999,6.3816,6.4727,52103.03940381504
1604343600000.0,6.47,6.4847,6.4474,6.4729,41572.81540868969
1604347200000.0,6.4729,6.5,6.443,6.4545,51042.412397360975
1604350800000.0,6.4538,6.4965,6.4465,6.4751,43237.06510624328
1604354400000.0,6.4759,6.4897,6.4497,6.45,43670.7934
1604358000000.0,6.4497,6.4685,6.3511,6.4595,40393.24875554427
1604361600000.0,6.4604,6.4636,6.3051,6.3926,36843.94
1604365200000.0,6.3914,6.5406,6.348,6.383,26195.890469840066
1604368800000.0,6.3826,6.4938,6.336,6.4744,61286.0698
1604372400000.0,6.4734,6.5285,6.43,6.4477,71770.40814199355
1604376000000.0,6.4469,6.53,6.4459,6.5009,49114.570949815105
1604379600000.0,6.4989,6.53,6.4529,6.455,38917.233203394186
1604383200000.0,6.455,6.53,6.4401,6.452,58944.38870426143
1604386800000.0,6.451,6.529,6.4351,6.4448,42922.53496981498
1604390400000.0,6.4459,6.4969,6.42,6.4653,39983.4967
1604394000000.0,6.4661,6.4806,6.4165,6.4581,39829.0936
1604397600000.0,6.459,6.4989,6.4214,6.4734,40561.9845
1604401200000.0,6.4714,6.5,6.4265,6.4284,38544.9563
1604404800000.0,6.4285,6.4839,6.3704,6.4672,43552.683173281606
1604408400000.0,6.4673,6.528,6.353,6.3594,57152.20885627857
1604412000000.0,6.3591,6.55,6.2586,6.3408,46047.6869
1604415600000.0,6.3397,6.3748,6.3351,6.343,36728.393
1604419200000.0,6.343,6.5,6.24,6.2782,44360.6657
1604422800000.0,6.2774,6.2815,6.2672,6.2734,25100.695628516612
1604426400000.0,6.2743,6.3,6.2672,6.3,38850.9193
1604430000000.0,6.2989,6.4,6.2909,6.367,47855.19971105135
1604433600000.0,6.367,6.371,6.331,6.3636,38244.29873524198
1604437200000.0,6.3646,6.389,6.3507,6.3885,35155.560435728796
1604440800000.0,6.39,6.4442,6.3639,6.3861,38641.20333002035
1604444400000.0,6.3853,6.39,6.2359,6.253,49944.71201812858
1604448000000.0,6.251,6.3555,6.1222,6.217,71997.78053092484
1604451600000.0,6.2298,6.395,6.1921,6.3503,68937.19786377733
1604455200000.0,6.3489,6.395,6.2406,6.302,49458.366
1604458800000.0,6.301,6.3908,6.2511,6.2744,59238.7455
1604462400000.0,6.2744,6.2989,6.2306,6.2438,40174.3717
1604466000000.0,6.2418,6.3208,6.2,6.3102,49296.0492
1604469600000.0,6.3135,6.395,6.2189,6.2386,39946.813
